 ,Area,Mean,Min,Max
757,362,255,255,255
758,301,255,255,255
759,327,255,255,255
760,323,255,255,255
761,352,255,255,255
762,331,255,255,255
763,285,255,255,255
764,280,255,255,255
765,442,255,255,255
766,459,255,255,255
767,307,255,255,255
768,322,255,255,255
769,282,255,255,255
770,329,255,255,255
771,199,255,255,255
772,274,255,255,255
773,276,255,255,255
774,293,255,255,255
775,435,255,255,255
776,283,255,255,255
777,343,255,255,255
778,292,255,255,255
779,308,255,255,255
780,345,255,255,255
781,351,255,255,255
782,489,255,255,255
783,318,255,255,255
784,402,255,255,255
785,486,255,255,255
786,275,255,255,255
787,372,255,255,255
788,285,255,255,255
789,354,255,255,255
790,295,255,255,255
791,250,255,255,255
792,492,255,255,255
793,439,255,255,255
794,336,255,255,255
795,294,255,255,255
796,377,255,255,255
797,293,255,255,255
798,301,255,255,255
799,285,255,255,255
800,354,255,255,255
801,490,255,255,255
802,325,255,255,255
803,467,255,255,255
804,489,255,255,255
805,319,255,255,255
806,308,255,255,255
807,317,255,255,255
808,294,255,255,255
809,324,255,255,255
810,436,255,255,255
811,315,255,255,255
812,474,255,255,255
813,391,255,255,255
814,382,255,255,255
815,311,255,255,255
816,303,255,255,255
817,497,255,255,255
818,296,255,255,255
819,311,255,255,255
820,440,255,255,255
821,331,255,255,255
822,302,255,255,255
823,408,255,255,255
824,292,255,255,255
825,325,255,255,255
826,207,255,255,255
827,304,255,255,255
828,474,255,255,255
829,433,255,255,255
830,308,255,255,255
831,464,255,255,255
832,353,255,255,255
833,465,255,255,255
834,354,255,255,255
835,313,255,255,255
836,302,255,255,255
837,312,255,255,255
838,306,255,255,255
839,343,255,255,255
840,349,255,255,255
841,305,255,255,255
842,383,255,255,255
843,339,255,255,255
844,183,255,255,255
845,299,255,255,255
846,348,255,255,255
847,280,255,255,255
848,323,255,255,255
849,290,255,255,255
850,304,255,255,255
851,309,255,255,255
852,387,255,255,255
853,299,255,255,255
854,373,255,255,255
855,249,255,255,255
856,229,255,255,255
857,214,255,255,255
858,294,255,255,255
859,441,255,255,255
860,309,255,255,255
861,461,255,255,255
862,318,255,255,255
863,294,255,255,255
864,321,255,255,255
865,357,255,255,255
866,311,255,255,255
867,326,255,255,255
868,324,255,255,255
869,326,255,255,255
870,421,255,255,255
871,372,255,255,255
872,321,255,255,255
873,331,255,255,255
874,308,255,255,255
875,325,255,255,255
876,305,255,255,255
877,327,255,255,255
878,441,255,255,255
879,290,255,255,255
880,338,255,255,255
881,308,255,255,255
882,323,255,255,255
883,289,255,255,255
884,382,255,255,255
885,386,255,255,255
886,312,255,255,255
887,321,255,255,255
888,182,255,255,255
889,469,255,255,255
890,327,255,255,255
891,332,255,255,255
892,292,255,255,255
893,346,255,255,255
894,489,255,255,255
895,328,255,255,255
896,348,255,255,255
897,326,255,255,255
898,464,255,255,255
899,295,255,255,255
900,236,255,255,255
901,361,255,255,255
902,333,255,255,255
903,434,255,255,255
904,428,255,255,255
905,341,255,255,255
906,323,255,255,255
907,455,255,255,255
908,303,255,255,255
909,307,255,255,255
910,283,255,255,255
911,314,255,255,255
912,333,255,255,255
913,268,255,255,255
914,484,255,255,255
915,456,255,255,255
916,316,255,255,255
917,287,255,255,255
918,307,255,255,255
919,324,255,255,255
920,455,255,255,255
921,330,255,255,255
922,289,255,255,255
923,411,255,255,255
924,466,255,255,255
925,460,255,255,255
926,333,255,255,255
927,302,255,255,255
928,389,255,255,255
929,356,255,255,255
930,454,255,255,255
931,332,255,255,255
932,485,255,255,255
933,441,255,255,255
934,332,255,255,255
935,321,255,255,255
936,366,255,255,255
937,406,255,255,255
938,411,255,255,255
939,470,255,255,255
940,271,255,255,255
941,303,255,255,255
942,495,255,255,255
943,289,255,255,255
944,299,255,255,255
945,327,255,255,255
946,304,255,255,255
947,280,255,255,255
948,339,255,255,255
949,452,255,255,255
950,494,255,255,255
951,456,255,255,255
952,306,255,255,255
953,414,255,255,255
954,472,255,255,255
955,332,255,255,255
956,406,255,255,255
957,366,255,255,255
958,323,255,255,255
959,467,255,255,255
960,356,255,255,255
961,290,255,255,255
962,305,255,255,255
963,493,255,255,255
964,336,255,255,255
965,399,255,255,255
966,312,255,255,255
967,312,255,255,255
968,271,255,255,255
969,494,255,255,255
970,367,255,255,255
971,461,255,255,255
972,322,255,255,255
973,341,255,255,255
974,435,255,255,255
975,416,255,255,255
976,480,255,255,255
977,363,255,255,255
978,309,255,255,255
979,425,255,255,255
980,306,255,255,255
981,316,255,255,255
982,318,255,255,255
983,293,255,255,255
984,458,255,255,255
985,347,255,255,255
986,460,255,255,255
987,190,255,255,255
988,475,255,255,255
989,400,255,255,255
990,372,255,255,255
991,188,255,255,255
992,282,255,255,255
993,450,255,255,255
994,296,255,255,255
995,311,255,255,255
996,317,255,255,255
997,287,255,255,255
998,370,255,255,255
999,469,255,255,255
1000,287,255,255,255
1001,198,255,255,255
1002,435,255,255,255
1003,306,255,255,255
1004,271,255,255,255
1005,295,255,255,255
1006,282,255,255,255
1007,296,255,255,255
1008,378,255,255,255
1009,463,255,255,255
1010,361,255,255,255
1011,436,255,255,255
1012,320,255,255,255
1013,420,255,255,255
1014,377,255,255,255
1015,262,255,255,255
1016,426,255,255,255
1017,258,255,255,255
1018,272,255,255,255
1019,466,255,255,255
1020,332,255,255,255
1021,370,255,255,255
1022,271,255,255,255
1023,318,255,255,255
1024,444,255,255,255
1025,470,255,255,255
1026,409,255,255,255
1027,274,255,255,255
1028,267,255,255,255
1029,388,255,255,255
1030,344,255,255,255
1031,496,255,255,255
1032,346,255,255,255
1033,291,255,255,255
1034,341,255,255,255
1035,262,255,255,255
1036,307,255,255,255
1037,353,255,255,255
1038,160,255,255,255
1039,305,255,255,255
1040,251,255,255,255
1041,315,255,255,255
1042,308,255,255,255
1043,359,255,255,255
1044,241,255,255,255
1045,301,255,255,255
1046,292,255,255,255
1047,379,255,255,255
1048,276,255,255,255
1049,350,255,255,255
1050,366,255,255,255
1051,316,255,255,255
1052,405,255,255,255
1053,474,255,255,255
1054,359,255,255,255
1055,436,255,255,255
1056,430,255,255,255
1057,310,255,255,255
1058,497,255,255,255
1059,260,255,255,255
1060,211,255,255,255
1061,431,255,255,255
1062,465,255,255,255
1063,275,255,255,255
1064,356,255,255,255
1065,272,255,255,255
1066,391,255,255,255
1067,174,255,255,255
1068,354,255,255,255
1069,185,255,255,255
1070,300,255,255,255
1071,315,255,255,255
1072,280,255,255,255
1073,377,255,255,255
1074,464,255,255,255
1075,202,255,255,255
1076,439,255,255,255
